cityID,Name,Latitude,Longitude
1,Zuerich,47.3741561,8.5396323
2,Genf,46.2043907,6.1431577
3,Basel,47.5595986,7.5885761
4,Bern,46.947773,7.441641
5,Lausanne,46.519384,6.635008
6,Winterthur,47.4988196,8.7236889
7,Luzern,47.035127,8.294445
8,St. Gallen,47.4247592,9.3832218
9,Lugano,46.0049588,8.9602395
10,Biel/Bienne,47.1335054,7.2421455
11,Thun,46.7579868,7.6279881
12,Koeniz,46.925634,7.4167206
13,La Chaux-de-Fonds,47.10237,6.8287289
14,Fribourg,46.8064773,7.1619719
15,Schaffhausen,47.6974495,8.6321052
16,Chur,46.8507835,9.5319859
17,Vernier,46.2122638,6.1052686
18,Neuenburg,46.9899874,6.9292732
19,Uster,47.3482747,8.7178739
20,Sitten,46.2331221,7.360626
21,Lancy,46.1885168,6.1144546
22,Yverdon-les-Bains,46.7792437,6.6594024
23,Emmen,47.0772338,8.275637
24,Zug,47.1661672,8.5154946
25,Kriens,47.0341978,8.2772552
26,Rapperswil-Jona,47.2266239,8.8184374
27,Duebendorf,47.3971476,8.6180128
28,Dietikon,47.4053885,8.39977
29,Montreux,46.4312213,6.9106799
30,Frauenfeld,47.5556486,8.8966282
31,Wetzikon,47.3270602,8.801356
32,Wil,47.4635617,9.0479097
33,Baar,47.1953729,8.526087
34,Meyrin,46.2283204,6.070988
35,Bulle,46.6154512,7.0577268
36,Kreuzlingen,47.6447397,9.1707858
37,Waedenswil,47.2296871,8.6718189
38,Carouge,46.1829674,6.1378539
39,Riehen,47.5848274,7.6499111
40,Renens,46.53381,6.59137
41,Aarau,47.391383,8.049558
42,Allschwil,47.5528925,7.5433615
43,Wettingen,47.4659503,8.3265988
44,Horgen,47.260742,8.596363
45,Nyon,46.379786,6.240262
46,Vevey,46.4654353,6.8365488
47,Buelach,47.5179625,8.5417996
48,Reinach,47.4906819,7.5894365
49,Baden,47.47288,8.30809
50,Adliswil,47.3124347,8.5270459
